"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough","% Attendance","% Chronically Absent","Year"
"368","11X021","P.S. 021 Philip H. Sheridan",707,0.882,0.564,0.648,0.016,0.207,0.917,0,0,0,0,0,0,3,4,3,4,2,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.0","40.1","2017-18"
"369","11X041","P.S. 041 Gun Hill Road",920,0.911,0.498,0.493,0.021,0.193,0.986,0,0,0,0,0,0,4,4,5,6,5,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.3","40.2","2017-18"
"370","11X068","P.S. 068 Bronx",681,0.742,0.52,0.765,0.009,0.253,0.709,0,0,0,0,0,0,2,2,2,3,3,0,0,0,2,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.0","28.3","2017-18"
"371","11X076","P.S. 076 The Bennington School",956,0.835,0.529,0.453,0.067,0.169,0.789,0,0,0,0,0,0,5,4,4,4,4,0,0,0,5,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.8","36.0","2017-18"
"372","11X078","P.S. 078 Anne Hutchinson",824,0.826,0.522,0.72,0.027,0.167,0.847,0,0,0,0,0,0,4,4,4,3,3,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.0","42.6","2017-18"
"373","11X083","P.S. 083 Donald Hertz",1698,0.718,0.514,0.067,0.35,0.201,0.657,0,0,0,0,0,0,4,5,4,5,5,5,5,5,4,1,1,2,1,1,2,2,2,1,0,0,0,0,0,0,8,0,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","95.2","10.5","2017-18"
"374","11X087","P.S. 087 Bronx",594,0.739,0.544,0.699,0.013,0.221,0.852,0,0,0,0,0,0,2,3,3,3,3,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.6","26.7","2017-18"
"375","11X089","P.S. 089 Bronx",1548,0.845,0.496,0.189,0.159,0.178,0.79,0,0,0,0,0,0,4,4,5,4,4,4,3,3,4,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","91.2","34.8","2017-18"
"376","11X096","P.S. 096 Richard Rodgers",952,0.867,0.495,0.208,0.1,0.212,0.827,0,0,0,0,0,0,4,4,4,3,4,0,0,0,5,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.7","35.7","2017-18"
"377","11X097","P.S. 097 Bronx",659,0.658,0.49,0.27,0.161,0.214,0.804,0,0,0,0,0,0,3,3,3,3,2,0,0,0,3,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","93.4","21.5","2017-18"
"378","11X103","P.S. 103 Hector Fontanez",1129,0.884,0.514,0.493,0.023,0.224,0.898,0,0,0,0,0,0,6,5,6,4,6,0,0,0,7,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.1","40.0","2017-18"
